age,income,credit_score,years_employed,num_dependents,education,home_owner,region,loan_status
50,76602.61,626,4.9,4,Master,No,West,Approved
70,66058.36,412,29.4,4,Master,Yes,West,Approved
67,,352,17.5,1,PhD,Yes,South,Approved
25,57057.93,728,4.5,5,Bachelor,No,West,Approved
21,44028.87,632,29.9,3,PhD,No,South,Approved
52,31139.51,570,18.3,1,Bachelor,No,East,Approved
37,53730.38,800,9.5,2,Master,No,North,Approved
43,68646.07,449,8.7,2,High School,No,West,Denied
31,56640.82,578,4.1,4,Bachelor,Yes,North,Approved
58,50890.27,638,21.5,0,Bachelor,Yes,South,Approved
48,38113.81,594,9.6,5,High School,Yes,South,Approved
20,59548.31,480,28.0,0,PhD,No,South,Approved
36,51755.74,409,27.9,2,Master,No,West,Approved
50,,415,9.9,5,PhD,No,South,Denied
36,22415.78,479,18.3,5,PhD,No,East,Denied
29,70372.4,554,0.2,3,Bachelor,No,East,Approved
64,37426.96,668,20.8,0,High School,No,East,Approved
63,53426.83,602,11.0,1,Bachelor,Yes,West,Approved
56,30368.06,782,22.7,5,Bachelor,Yes,North,Approved
41,70460.66,363,24.9,4,Bachelor,Yes,South,Approved
25,37872.01,800,2.7,4,PhD,Yes,West,Denied
54,68748.5,615,21.7,3,Master,Yes,South,Approved
40,43108.56,361,28.0,0,PhD,Yes,East,Approved
67,31667.36,730,11.2,3,PhD,No,West,Approved
52,73953.43,421,5.4,4,PhD,Yes,South,Approved
37,22087.2,734,16.0,1,Bachelor,No,East,Approved
64,50447.63,729,18.4,0,,Yes,North,Approved
56,32818.06,550,22.2,3,PhD,Yes,South,Denied
26,35129.58,626,17.3,5,Master,Yes,East,Approved
51,,362,16.7,4,Bachelor,No,West,Approved
59,35011.3,626,20.9,3,Bachelor,No,West,Approved
33,58898.08,447,24.2,0,PhD,No,South,Approved
39,25412.17,679,2.8,5,Bachelor,Yes,East,Denied
20,58146.71,522,14.4,2,Master,Yes,South,Approved
25,49408.64,548,20.9,5,Bachelor,No,South,Approved
42,24546.28,615,7.8,4,PhD,No,North,Approved
66,71324.52,679,9.4,0,Bachelor,Yes,North,Approved
55,47179.85,500,9.9,3,Bachelor,No,East,Denied
64,36845.91,472,22.0,2,Bachelor,Yes,West,Approved
59,71143.9,376,28.4,5,High School,Yes,West,Approved
22,,817,13.7,0,PhD,No,North,Approved
18,78650.36,848,29.3,0,PhD,Yes,North,Approved
33,57852.97,662,8.0,3,High School,No,West,Approved
62,54128.96,382,19.6,5,High School,Yes,West,Approved
21,31687.69,384,15.0,3,Master,Yes,North,Denied
62,65554.06,347,27.7,5,Master,Yes,South,Approved
31,24315.65,707,27.9,2,Bachelor,Yes,West,Approved
42,50348.28,380,15.0,2,High School,Yes,West,Denied
56,55337.71,706,29.1,2,High School,No,West,Approved
42,25291.11,689,2.6,4,Master,Yes,North,Approved
63,52202.14,698,9.5,0,High School,Yes,East,Approved
24,57803.78,759,16.7,4,PhD,Yes,North,Approved
56,36988.52,694,0.4,3,PhD,Yes,South,Denied
42,56902.54,574,14.8,0,Bachelor,No,East,Approved
22,22197.96,807,17.8,1,PhD,Yes,South,Approved
39,59579.04,637,13.2,3,Bachelor,No,East,Approved
48,31742.23,626,8.7,5,PhD,Yes,East,Approved
43,22390.64,504,17.8,4,Bachelor,Yes,West,Approved
69,42898.3,718,20.2,1,Master,Yes,East,Approved
68,35929.41,790,17.5,4,PhD,Yes,East,Approved
56,45097.89,554,19.7,2,Bachelor,Yes,West,Approved
68,47624.98,564,6.7,5,Bachelor,No,East,Denied
55,46238.37,325,14.5,2,PhD,Yes,North,Denied
40,42477.01,511,15.6,2,PhD,Yes,West,Approved
22,39808.01,417,0.7,2,High School,Yes,South,Approved
39,12000,537,23.9,5,Bachelor,Yes,West,Denied
30,31877.16,304,21.1,1,Master,Yes,North,Approved
41,40852.05,568,20.1,3,Master,No,West,Approved
47,25572.68,604,27.6,4,High School,Yes,East,Approved
29,43048.18,697,12.5,1,PhD,No,South,Approved
59,60066.65,470,14.7,1,Bachelor,No,West,Approved
18,38195.27,693,28.9,4,PhD,No,West,Approved
49,61544.61,525,8.8,2,Bachelor,No,South,Approved
67,52270.64,415,17.2,2,Master,Yes,West,Denied
24,47695.31,553,8.9,0,PhD,No,East,Denied
25,52122.7,659,25.8,4,PhD,Yes,South,Approved
69,65581.77,587,17.9,1,Master,No,East,Approved
50,77033.8,397,4.1,3,High School,No,South,Denied
27,41881.43,702,14.7,4,Master,No,West,Approved
67,68069.82,584,20.8,2,PhD,No,East,Approved
64,90154.72,666,25.5,4,PhD,Yes,West,Approved
38,57723.25,433,17.0,3,Master,Yes,North,Approved
47,91231.73,461,13.2,0,PhD,Yes,South,Approved
35,64174.82,384,11.2,5,Bachelor,Yes,West,Approved
66,52613.65,397,0.0,3,High School,Yes,South,Denied
18,38878.12,732,20.8,3,High School,Yes,West,Approved
24,35604.22,440,11.5,1,Bachelor,Yes,North,Approved
40,45636.72,455,27.6,4,PhD,Yes,North,Approved
25,35013.23,739,9.4,1,Bachelor,No,North,Approved
64,25603.46,327,25.4,5,Master,Yes,South,Denied
21,56742.15,545,14.8,0,Bachelor,No,North,Approved
41,,730,11.0,5,Bachelor,No,North,Approved
34,58696.64,707,15.2,5,PhD,No,West,Approved
57,54317.8,380,15.3,1,Bachelor,No,West,Approved
59,47205.32,747,21.9,1,High School,Yes,North,Approved
57,37996.57,479,3.6,5,Bachelor,Yes,South,Denied
51,55916.6,470,11.2,5,Master,Yes,North,Denied
51,76156.39,378,14.9,4,Master,Yes,West,Approved
28,49730.39,418,6.9,4,High School,Yes,North,Denied
42,59913.33,336,16.6,5,PhD,Yes,East,Denied
38,49034.67,681,3.6,5,High School,Yes,South,Approved
43,,589,23.2,2,Master,Yes,West,Approved
54,56351.88,548,13.9,4,PhD,Yes,South,Denied
19,51770.08,309,28.5,0,PhD,No,North,Approved
44,43681.56,445,21.3,0,High School,Yes,West,Approved
65,56947.21,436,19.1,3,High School,Yes,West,Approved
36,48919.55,702,21.0,5,Master,No,West,Approved
30,70250.38,411,4.7,1,PhD,No,East,Approved
67,54065.44,571,25.6,0,Bachelor,No,North,Approved
27,,664,11.9,0,Master,No,South,Approved
46,28640.61,396,13.9,1,High School,Yes,North,Denied
26,55830.31,386,17.5,2,High School,Yes,North,Approved
69,76955.26,639,3.7,3,High School,Yes,West,Approved
19,35938.89,662,6.4,1,,No,West,Approved
57,30722.7,810,12.4,4,PhD,Yes,North,Approved
30,29919.81,555,18.9,4,High School,No,East,Denied
40,68145.11,697,8.1,0,Master,Yes,North,Approved
21,57325.2,666,23.0,1,Bachelor,Yes,South,Approved
70,57538.1,524,17.3,3,Master,Yes,South,Approved
65,37115.25,328,21.1,2,Bachelor,Yes,West,Denied
20,61048.23,524,0.6,3,High School,No,South,Approved
29,80291.59,631,1.8,1,Bachelor,Yes,East,Approved
60,43416.65,609,9.7,1,PhD,No,East,Approved
62,69089.33,665,6.7,4,Bachelor,No,East,Approved
29,44180.36,700,25.5,4,High School,Yes,East,Approved
32,44605.49,808,4.2,5,High School,Yes,East,Approved
23,61665.26,643,13.4,2,Bachelor,Yes,North,Approved
64,67775.88,729,29.1,3,PhD,No,East,Approved
48,55697.65,530,4.9,0,High School,No,North,Denied
22,29461.07,464,22.0,4,High School,No,West,Approved
59,69242.49,460,1.6,2,Bachelor,Yes,West,Approved
64,24375.06,604,7.1,0,,No,South,Approved
